"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1842020214378291333","Fri Oct 04 01:53:36 +0000 2024","2526","JOKOWI LENGSER... GIBRAN TERGESER... JOKOWI BAKAL DI KENANG SEBAGAI PRESIDEN PALING AMBURADUL....‼️ #SeretJokowiKePenjara #SeretJokowiKePenjara 🆘🆗 https://t.co/H40e44AxZf","1842020214378291333","https://pbs.twimg.com/ext_tw_video_thumb/1842020159147696128/pu/img/G7o3Ws087OZw1_zi.jpg","","in","","25","112","950","https://x.com/PngAdilnR4kyt/status/1842020214378291333","1630749805734678529","PngAdilnR4kyt"
"1748170897134125507","Fri Jan 19 02:29:55 +0000 2024","8757","Jokowi kian kentara mendukung Prabowo-Gibran menang satu putaran. Penyalahgunaan kekuasaan makin besar. #MajalahTempo https://t.co/WfTIC7wwfG","1748170897134125507","https://pbs.twimg.com/ext_tw_video_thumb/1748170686806605825/pu/img/ki-l8aiPatnNVVZ6.jpg","","in","Indonesia","574","628","3513","https://x.com/tempodotco/status/1748170897134125507","18129942","tempodotco"
"1844773640329466025","Fri Oct 11 16:14:44 +0000 2024","3","Presiden Joko Widodo meresmikan Istana Negara IKN Nusantara Jumat 11 Oktober 2024. @jokowi @prabowo @gibran_tweet Indonesia 🇮🇩 Hebat Indonesia 🇮🇩 Maju Indonesia 🇮🇩 Emas #TerimaKasihPakJokowi ️ https://t.co/QxJQ5c5rry","1844773640329466025","https://pbs.twimg.com/ext_tw_video_thumb/1844773569110417408/pu/img/iQtUJE8SQs6SEl1X.jpg","","in","Washington, DC","2","0","2","https://x.com/langityang7/status/1844773640329466025","1322542259191963649","langityang7"
"1842126514596556861","Fri Oct 04 08:56:00 +0000 2024","79","Sehari slh acara pertemuan Prabowo dg relawan Jokowi Gibran aku bicara dg salah seorang elit PDIP aku blg Prabowo dpt dukungan dr relawan Jokowi dia gak percaya dn blg itu relawan Prabowo yg dukung Jokowi stlh Prabowo jd menhan. Simple aku bilang buktikan tgl 14 feb'24 https://t.co/wIwOMId27K","1842126514596556861","https://pbs.twimg.com/media/GZCMS6gbUAAq83o.jpg","","in","Jakarta Pusat, DKI Jakarta","3","34","20","https://x.com/mas_veel/status/1842126514596556861","1709123175450288128","mas_veel"
"1486496317010374657","Thu Jan 27 00:28:34 +0000 2022","3605","KPK Dalami Keterangan Ubedilah Badrun soal Dugaan KKN Dua Putra Jokowi Gibran dan Kaesang https://t.co/HWJLINNzdk https://t.co/ELzD1ZVPHM","1486496317010374657","https://pbs.twimg.com/media/FKEYhdvVcAQb4Bc.jpg","","in","Indonesia","145","474","797","https://x.com/KompasTV/status/1486496317010374657","71436318","KompasTV"
"1822858977753104407","Mon Aug 12 04:53:42 +0000 2024","16199","Kalo doi beneran jadi ketum Golkar negara ini beneran dikuasai keluarga Jokowi anjir Eksekutif: - Gibran (Wapres) - Kaesang (otw Cawagub DKI/Jateng kalo jadi [tp amit2]) - Bobby (Walkot Medan - otw Cagub Sumut) Yudikatif: - Anwar Usman (Hakim Konstitusi - ex","1822858977753104407","","","in","Kutub Selatan","802","612","3166","https://x.com/timpenguinnas/status/1822858977753104407","1457753196269473793","timpenguinnas"
"1715885000611221812","Sun Oct 22 00:17:18 +0000 2023","3822","Ya mungkin Jokowi memang ingin menunjukkan bahwa namanya lebih besar dari PDIP. Selama ini simbiosis mutualisme antara PDIP dan Jokowi selalu diklaim sepihak oleh PDIP (Megawati). Jokowi hanya diposisikan di ketiak PDIP. Jika Gibran menang Jokowi melenggang jadi Ketum Golkar.","1715885000611221812","","","in","Mojokerto","99","687","642","https://x.com/hasyimmah/status/1715885000611221812","185156524","hasyimmah"
"1843481823478984812","Tue Oct 08 02:41:31 +0000 2024","163","Gagal adu domba Prabowo vs Gibran. Sekarang mereka coba adu domba SBY vs Jokowi. Emang spesialis Adu Domba mereka krn mau ngelawan isunya ga masuk akar rumput semua. Demo komedi darurat kmrn jg jd lelucon.Makanya focus adu domba mereka sekarang sesuai perintah majikan wkwkw https://t.co/h1j5L1EtJo","1843481823478984812","https://pbs.twimg.com/media/GZVc8PpbQAATTBl.jpg","","in","","2","32","49","https://x.com/tekarok007/status/1843481823478984812","1184695438365974528","tekarok007"
"1741257980061130857","Sun Dec 31 00:40:28 +0000 2023","3092","Begini Amat Menteri Jokowi Jualan Gibran Pake Bansos Zulkifli Hasan: Yang kasih Bansos sama BLT siapa... Yang kasih Bansos sama BLT siapa... yg suka sama Jokowi ngkat tangan... pak Jokowi itu PAN PAN itu pak Jokowi makanya kita dukung Gibran Cocoook?. Gibran itu sopo https://t.co/TzxAAvSWxL","1741257980061130857","https://pbs.twimg.com/ext_tw_video_thumb/1741256507965194240/pu/img/s_iNyjT66wz-lt8v.jpg","","in","Bandung, Jawa Barat","633","760","1471","https://x.com/tijabar/status/1741257980061130857","2395238000","tijabar"
"1831694757917298748","Thu Sep 05 14:03:56 +0000 2024","3570","Batalin saja Pilgub DKI buang-buang APBN saja. Toh sudah ada pemimpinnya. Kalau diteruskan Pilgub nya apa tidak akan terjadi dualisme kepemimpinan? https://t.co/1nMAhbeq5L https://t.co/O7VvXOoiWr","1831694757917298748","https://pbs.twimg.com/media/GWt8rKPWUAAvQjT.jpg","","in","Di Hatimu! ","181","421","1225","https://x.com/NgkongRoses/status/1831694757917298748","2650421658","NgkongRoses"
